"","ZipCode","avg_outcome_ems","avg_outcome_police","avg_outcome_ed","avg_outcome_death","avg_outcome_unk","avg_outcome_ok","avg_od_drug_heroin","avg_od_drug_cocaine","avg_od_drug_fentanyl","avg_od_drug_unknown","avg_od_drug_other","avg_od_present_breath","avg_od_present_unresponsive","avg_od_present_coloring","avg_od_present_other","avg_cpr_used","n_observations","Naloxone.Pickups","Incident2014Q1","Incident2014Q2","Incident2014Q3","Incident2014Q4","Incident2015Q1","Incident2015Q2","Incident2015Q3","Incident2015Q4","Incident2016Q1","Incident2016Q2","Incident2016Q3","Incident2016Q4","Incident2017Q1","Incident2017Q2","Incident2017Q3","Incident2017Q4","Incident2018Q1","Incident2018Q2","Incident2018Q3","Incident2018Q4","Resident2014Q1","Resident2014Q2","Resident2014Q3","Resident2014Q4","Resident2015Q1","Resident2015Q2","Resident2015Q3","Resident2015Q4","Resident2016Q1","Resident2016Q2","Resident2016Q3","Resident2016Q4","Resident2017Q1","Resident2017Q2","Resident2017Q3","Resident2017Q4","Resident2018Q1","Resident2018Q2","Resident2018Q3","Resident2018Q4","hf_physicians_number","hf_programs_number","hf_providers_number","Bup.More.Than.30","Incident2014Q1.integer","Incident2014Q2.integer","Incident2014Q3.integer","Incident2014Q4.integer","Incident2015Q1.integer","Incident2015Q2.integer","Incident2015Q3.integer","Incident2015Q4.integer","Incident2016Q1.integer","Incident2016Q2.integer","Incident2016Q3.integer","Incident2016Q4.integer","Incident2017Q1.integer","Incident2017Q2.integer","Incident2017Q3.integer","Incident2017Q4.integer","Incident2018Q1.integer","Incident2018Q2.integer","Incident2018Q3.integer","Incident2018Q4.integer","Resident2014Q1.integer","Resident2014Q2.integer","Resident2014Q3.integer","Resident2014Q4.integer","Resident2015Q1.integer","Resident2015Q2.integer","Resident2015Q3.integer","Resident2015Q4.integer","Resident2016Q1.integer","Resident2016Q2.integer","Resident2016Q3.integer","Resident2016Q4.integer","Resident2017Q1.integer","Resident2017Q2.integer","Resident2017Q3.integer","Resident2017Q4.integer","Resident2018Q1.integer","Resident2018Q2.integer","Resident2018Q3.integer","Resident2018Q4.integer","overdose_deaths","overdose_deaths2"
"21","19137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,"<6","<6","<6","<6","<6","0","0","0","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","6","0","<6","0","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6",NA,1,NA,NA,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,23,17
"22","19126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,"0","0","0","<6","0","0","<6","0","<6","<6","0","<6","<6","0","<6","<6","<6","<6","0","<6","0","0","0","<6","<6","0","<6","<6","<6","<6","<6","<6","<6","<6","<6","0","<6","<6","0","0",5,NA,5,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,13,11
"23","19141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257,"<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","0","<6","<6","<6","<6","<6","<6","<6","<6","6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6",9,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,19
"24","19138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,"0","<6","<6","<6","<6","<6","<6","0","0","<6","<6","<6","0","0","<6","0","<6","<6","<6","6","<6","0","<6","<6","<6","<6","<6","0","<6","<6","<6","<6","0","0","<6","0","<6","<6","<6","<6",1,NA,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,6,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,15,19
"25","19150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,"<6","<6","0","0","<6","0","0","0","<6","0","<6","<6","0","0","0","<6","0","0","<6","0","0","<6","0","0","<6","0","0","<6","<6","0","<6","<6","0","0","0","<6","0","0","<6","<6",5,NA,5,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,9,8
"26","19119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,"0","0","0","0","<6","<6","<6","0","<6","<6","<6","0","<6","<6","<6","<6","<6","<6","<6","<6","0","0","0","0","<6","<6","<6","0","0","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","0",3,NA,3,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,13,14
"27","19144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,"<6","8","6","<6","<6","<6","<6","6","7","<6","<6","<6","6","<6","<6","6","6","<6","9","<6","<6","9","7","6","6","6","<6","6","8","<6","<6","8","6","<6","<6","8","6","<6","<6","7",9,1,9,2,1,8,6,1,1,1,1,6,7,1,1,1,6,1,1,6,6,1,9,1,1,9,7,6,6,6,1,6,8,1,1,8,6,1,1,8,6,1,1,7,91,66
"28","19129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,"0","0","0","0","<6","0","<6","0","<6","<6","0","<6","0","0","<6","<6","0","<6","<6","0","0","0","0","0","<6","0","<6","<6","<6","<6","0","<6","0","<6","0","<6","<6","<6","<6","<6",NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,12,9
"29","19118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,"0","0","0","0","0","0","0","0","0","<6","0","0","0","0","0","<6","0","<6","<6","<6","0","0","0","0","<6","0","0","0","0","0","<6","0","0","0","<6","<6","0","<6","0","<6",4,NA,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,6,5
"30","19128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,"0","<6","0","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","7","<6","6","0","<6","0","<6","<6","<6","<6","<6","<6","<6","<6","<6","6","<6","<6","<6","<6","<6","<6","<6",12,NA,12,3,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,6,0,1,0,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,23,29
