"date_value","ZCTA_GEOID","Retail Theft","Theft","Fraud/Theft of Services","Vandalism","Alcohol Possession by Minor","Public Drunkenness","Trespass","Disorderly Conduct","Minor Violations (Open Container, Public Urination, Smoking Violation)","Uncategorized Offenses","<NA>"
2015-01-07,"19131",0,0,0,0,0,0,0,45,45,51,0
2015-01-07,"19132",0,0,0,0,0,0,0,0,44,57,0
2015-01-07,"19133",0,0,0,0,0,0,0,0,0,60,0
2015-01-07,"19134",0,0,122,0,0,0,0,0,118,124,0
2015-01-07,"19135",0,0,0,0,0,0,0,0,0,0,0
2015-01-07,"19136",0,0,0,0,0,0,0,0,0,124,0
2015-01-07,"19137",0,0,0,0,0,0,0,0,0,0,0
2015-01-07,"19138",0,0,0,0,0,0,0,0,0,0,0
2015-01-07,"19139",0,0,116,0,0,0,0,63,44,82,0
2015-01-07,"19140",0,0,0,0,0,0,0,0,0,0,0
2015-01-07,"19141",0,0,0,0,0,0,0,0,124,0,0
2015-01-07,"19142",0,0,0,0,0,0,0,0,0,0,0
2015-01-07,"19143",0,0,0,0,0,0,0,0,11,0,0
2015-01-07,"19144",43,0,0,0,0,0,0,0,0,0,0
2015-01-07,"19145",0,0,0,0,0,0,0,0,0,0,0
2015-01-07,"19146",0,0,0,0,0,0,0,0,0,0,0
2015-01-07,"19147",0,0,0,0,0,0,0,0,116,120,0
2015-01-07,"19148",0,0,0,0,0,0,0,0,0,125,0
2015-01-07,"19149",0,0,0,0,0,0,0,0,44,0,0
2015-01-07,"19150",0,0,0,0,0,0,0,0,0,0,0
2015-01-07,"19151",0,0,0,0,0,0,0,0,0,0,0
2015-01-07,"19152",0,0,0,0,0,0,0,0,0,0,0
2015-01-07,"19153",0,0,0,0,0,0,0,0,0,0,0
2015-01-07,"19154",0,0,0,0,0,0,0,0,0,0,0
2015-01-07,"Unknown",0,0,85,0,0,0,0,117,131,128,134
2015-01-08,"19102",0,0,0,0,0,0,0,0,110,40,0
2015-01-08,"19103",0,0,0,0,0,0,39,0,0,0,0
2015-01-08,"19104",0,0,0,0,0,0,0,55,127,0,0
2015-01-08,"19106",0,0,0,0,0,0,0,44,0,49,0
2015-01-08,"19107",0,0,0,0,0,0,0,0,124,116,0
2015-01-08,"19109",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19111",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19112",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19114",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19115",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19116",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19118",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19119",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19120",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19121",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19122",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19123",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19124",41,0,0,0,0,0,0,0,111,0,0
2015-01-08,"19125",0,0,0,0,0,0,0,0,0,114,0
2015-01-08,"19126",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19127",0,0,0,67,0,0,0,0,0,0,0
2015-01-08,"19128",36,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19129",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19130",0,0,0,0,0,0,0,0,45,0,0
2015-01-08,"19131",0,0,0,0,0,0,0,0,55,0,0
2015-01-08,"19132",52,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19133",0,0,0,0,0,0,56,0,0,56,0
2015-01-08,"19134",65,0,0,0,0,0,0,111,113,112,0
2015-01-08,"19135",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19136",0,0,0,0,0,54,0,0,0,0,0
2015-01-08,"19137",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19138",0,0,0,0,0,0,0,0,0,56,0
2015-01-08,"19139",0,0,0,0,0,0,0,0,43,42,0
2015-01-08,"19140",0,0,116,0,0,0,0,127,116,56,0
2015-01-08,"19141",0,0,111,0,0,0,0,0,55,56,0
2015-01-08,"19142",0,0,0,0,0,0,0,0,57,0,0
2015-01-08,"19143",0,0,0,0,0,0,0,0,41,0,0
2015-01-08,"19144",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19145",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19146",0,0,0,0,0,0,0,0,0,1405,0
2015-01-08,"19147",0,0,0,0,0,0,0,23,0,0,0
2015-01-08,"19148",0,0,0,0,0,56,0,0,0,0,0
2015-01-08,"19149",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19150",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19151",0,0,0,0,0,44,0,0,44,0,0
2015-01-08,"19152",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19153",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"19154",0,0,0,0,0,0,0,0,0,0,0
2015-01-08,"Unknown",0,0,195,0,0,0,0,0,141,219,0
2015-01-09,"19102",0,0,0,0,0,42,0,95,71,48,0
2015-01-09,"19103",0,0,0,0,0,0,0,0,69,87,0
2015-01-09,"19104",0,0,0,0,0,0,0,0,0,7,0
2015-01-09,"19106",0,0,0,0,42,0,0,0,0,0,0
2015-01-09,"19107",0,0,0,0,0,0,0,84,38,0,0
2015-01-09,"19109",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19111",0,0,0,0,0,0,0,728,0,0,0
2015-01-09,"19112",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19114",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19115",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19116",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19118",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19119",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19120",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19121",0,0,0,0,0,0,0,0,66,107,0
2015-01-09,"19122",0,0,0,0,0,0,0,53,0,103,0
2015-01-09,"19123",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19124",39,0,0,0,0,0,0,59,116,95,0
2015-01-09,"19125",0,0,0,0,0,0,42,0,0,50,0
2015-01-09,"19126",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19127",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19128",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19129",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19130",0,0,0,0,0,0,0,0,0,52,0
2015-01-09,"19131",0,0,0,0,0,0,0,0,68,42,0
2015-01-09,"19132",0,0,0,0,0,0,0,0,118,0,0
2015-01-09,"19133",0,0,0,0,0,0,0,0,0,62,0
2015-01-09,"19134",0,0,120,0,0,62,62,78,123,122,0
2015-01-09,"19135",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19136",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19137",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19138",0,0,0,0,0,0,0,152,0,63,0
2015-01-09,"19139",69,0,122,0,0,123,0,62,98,121,0
2015-01-09,"19140",0,0,119,0,0,0,0,0,0,119,0
2015-01-09,"19141",14,0,123,0,0,0,0,0,122,121,0
2015-01-09,"19142",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19143",0,0,0,0,0,0,0,0,0,0,0
